Проект,Собранная сумма
"Lühifilm ""Ohver""",1535
"Mari Kalkuni plaadi ""Õunaaia album"" ja video väljaandmine",7338
Kinkeraamat #õnnelikteekond #becominghappy,2283
"Lexsoul Dancemachine ""Lexplosion II"" album",6515
"Endise spordiajakirjaniku Valeri Maksimovi elulooraamat ""Hiiumehe ränd""",2353
Narva Airsoft CQB areen,4185
VORONJA SKULPTUURIDE AED,8245
"Film ""Ankeet""",3067
"Curly Strings ja sõbrad - heategevusliku albumi ""Lastele"" välja andmine",13389
"""mujal nüüd – elsewhere today"" raamatu väljaandmine",