Проект,Планировалось
"Lühifilm ""Ohver""",2000
"Mari Kalkuni plaadi ""Õunaaia album"" ja video väljaandmine",3000
Kinkeraamat #õnnelikteekond #becominghappy,2222
"Lexsoul Dancemachine ""Lexplosion II"" album",5000
"Endise spordiajakirjaniku Valeri Maksimovi elulooraamat ""Hiiumehe ränd""",2200
Narva Airsoft CQB areen,3500
VORONJA SKULPTUURIDE AED,10500
"Film ""Ankeet""",3000
"Curly Strings ja sõbrad - heategevusliku albumi ""Lastele"" välja andmine",13250
"""mujal nüüd – elsewhere today"" raamatu väljaandmine",1500